UserID,Achronim,Biography,Chassidus,Children's,Cookbooks,English Halacha,Eng. Mussar & Machshava,English Tanach,Gemara,Haggada,Hebrew Halacha,Heb. Mussar & Machshava,Hebrew Tanach,History,Judaica,Midrashim,Mishna,Music,Novels,Reference,Rishonim,Scholarly Works,Shailot u'Teshuvot,Siddurim,Tefillah,Yeshiva University
151,,,,2,,,,,,,1,,,,,,,,,,1,,1,,,
152,,,,4,,,,1,,,,,,,,,,,,,,,,,,
153,,,,,,,,2,,1,5,,2,1,,,,,,2,,2,,5,5,
154,,1,,,,1,3,5,,,,,,1,,,,,,1,,2,,,,
155,,,,,,,,,,1,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1,,,,,1,,1,,,,,,,,,,,,1,,,,,,
158,,,,,1,1,2,,,,1,,,,,,,,,,,1,,,,
159,,,,,,1,2,,,,,,,,,,,,,,,,,,,
160,,"1, 4",,,,2,,,,,,,,,,,,,,,,,,,,
161,3,,2,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,1,,,,,,,3,5,,,,,,,,,,,,,
163,,,,,,,,1,,,,1,,,,,,,,,,,,,1,
164,,,,,,,1,,,,,1,,,,,,,,,,,,,,1
165,,1,,,,,1,,,,,,2,,,,,,,,,1,,,,
166,,,,,,,,,,1,1,,2,,,,,,,,,,,,,
167,,,,,,1,,,,,,,,,,,,,,,,,,,,
168,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
169,,,,,,,2,,,,,,,,,,,,,,,4,,,,
170,,,,,,,,,,,1,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,5,,,,,,,,,,
172,,,,,,1,2,1,,,,,,,,,,,,,,,,,,
173,,,,,,,3,5,,,,,5,,,,,,,,,,,,,
174,,,,,,,,,,,,,,2,2,2,,,,,,4,,,,
175,,,,,,,,,5,,,,,,,,,,,,,,,,,
176,1,1,,,,1,,,,,,,,,,,,,,,,,,,,
177,,,,,,4,,5,,,,,,,5,,3,,,,,,,,,5
178,2,1,,,,,1,,,,,1,,,,,,,,1,,1,,1,,2
179,,,,,,,4,2,,,,,,,,,,,,,,,,,,
180,,,,,,,1,,,,,,,,,,,,,,,,,,,
181,,,,,,,3,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,
184,1,,1,,,1,,,,,,,,,,,,,,,1,,,,,
185,,,,,,3,,,,,,,,,,,1,,,,,,,,,
186,,,,,,,2,,,,,5,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,1,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,1,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,1,,,,,,,,,,,,,,
191,,3,1,1,,2,3,,,1,1,,,,,,,,,,,,,,,
192,2,,,,,,,,,,2,,,,,,,,,,,,,,,2
193,1,,,,,,,,,,,,,1,,,,,,,,1,1,,,"1, 2"
194,,,,,,,,1,,,,,,,1,,,,,,,,,,,
195,,,1,,,,,,,,1,,,,,,,,,,,,1,,,
196,,,,,,,,,3,,,,,,,,,,,,,,,,,
197,,,,,,,,,5,,,,,,,,,,,,,,,,,
198,,,1,,,1,,,,,,,,,,,,,,,1,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,3,,,,,,,,,,,,,,,
201,,,,,1,,5,3,,,,,,,,,,,,,,,,,,
202,,,,,,1,,,5,,,,,,,,,,,,,,,,,
203,,,,,,,2,1,,,,,,1,,,,,,,,,,,,
204,,,,,,,,,1,,,,,,,,,,,,,,,,,
205,,,,1,,,,,5,,,,1,,,,,,,,,,,1,,
206,,,,,,,,1,,,4,2,,,,,,,,,,,,,,
207,,,,,,,,,5,,,,,,,,,,,,,,,,,
208,1,,,,,,1,,,,,,1,,,,,,,,,,,,,1
209,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,1,1,,,,,,1,,,,,,,,,,,,
211,,,,,1,,,,,,5,1,,,,,,,,,,,,1,1,
212,,1,,,1,,,,,,,,,2,,,,,1,,,,,,,
213,1,,,,,,,,,,,,,,,,,,,,1,,,,,
214,,,,2,,1,1,,,1,,,,1,,,,,,,,,,,,
215,,,,,,4,,,,,3,,,,,,,,,1,2,,,,,
216,4,1,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,1,,,,,1,,,,
218,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,1
219,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,2,,,,,,,,,,,,,,,,5,,,,,,2
221,,,,,,2,2,,,,,,,,,,,,,,,,,,,
222,,,,,,3,5,,,,,,,,,,,,,,,,,,1,
223,,,,,,,,,,2,,,,,,,,,,,,,,1,,
224,,,5,,,,1,,,,,3,,2,,,,,,,,1,,,,
225,1,2,,1,,,,,,,,,2,,,1,1,,,,,,,,,1
226,3,,,1,,,,,,,,,,,,,,,,,,,,,,1
227,1,1,,,,1,,,,,,,,,,,,,,,4,,,,,2
228,,,,,,,,,5,,,,,,,,,,,,,,,3,,
229,,,,,,,,,5,,,,,,,,,,,4,,,,,,
230,,,,,,,2,5,,,,1,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,1
232,3,,,,1,,,,,,,,5,,,,,,,,1,5,,,,5
233,,,,,,,,,,,,,,,,,,,,,,2,,,,
234,,,1,,,,,,,,,,,,,,,,,,,,,,,
235,,,,,,1,,,,,,,5,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,,,,,,1,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,2,4,,,,,
239,,,1,3,,,,,,,,,,,,,,,,,,2,,,,
240,,,,,,,,,1,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,1,,,,,1,,,,
242,,,,,,,1,1,,,,,1,,,,,,,,,,,,,
243,,,,,,,,,,,5,,,,,,,,,,,,,,,
244,2,,,,,,1,,,,,,,,,,,,,,,,,,,
245,,,,,,1,,,1,,,1,,,,,,,,,,,,,,
246,,1,,,,1,,,,2,,,,,,,,,,,,,,,,
247,,,,,,,,,,,1,,,,,,,,,,,,,,,
248,,,,,,2,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,1,,1,,,,,,,,,,,,,1,,
250,,,,,,,,5,,,,,,,,,,,,,,,,,,
251,,,,,,,,"1, 2",,,,,,,,,,,,,,"1, 2",,,,
252,,,,,,,,,,,,1,,,,,,,,,,1,,,,
253,,,,,,,,2,,,,,,,,,,,,,,,,,,
254,,,4,,,,3,1,,,4,,,,,,,,,,,1,,,,1
255,,,,,,,,,,,2,,,,,,,,,,,1,,,,
